Date,Open*,High,Low,Close**,Volume,Market Cap
29-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$537,919,140 ","$6,970,630,600 "
28-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$460,472,975 ","$6,924,335,588 "
27-Mar-21,$0.05 ,$0.06 ,$0.05 ,$0.05 ,"$753,844,053 ","$7,011,100,665 "
26-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$776,280,028 ","$6,955,497,857 "
25-Mar-21,$0.05 ,$0.05 ,$0.05 ,$0.05 ,"$1,084,214,116 ","$6,632,093,766 "
24-Mar-21,$0.05 ,$0.06 ,$0.05 ,$0.05 ,"$934,537,959 ","$6,664,029,763 "
23-Mar-21,$0.05 ,$0.06 ,$0.05 ,$0.05 ,"$1,040,781,777 ","$6,902,245,900 "
22-Mar-21,$0.06 ,$0.06 ,$0.05 ,$0.05 ,"$696,918,565 ","$7,082,689,335 "
21-Mar-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$759,592,996 ","$7,374,772,308 "
20-Mar-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$1,012,934,488 ","$7,596,414,495 "
19-Mar-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$964,747,809 ","$7,514,154,611 "
18-Mar-21,$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$909,777,445 ","$7,391,550,949 "
17-Mar-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$861,926,643 ","$7,425,583,380 "
16-Mar-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$1,393,771,913 ","$7,547,720,122 "
15-Mar-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$1,738,710,876 ","$7,351,218,571 "
14-Mar-21,$0.06 ,$0.06 ,$0.06 ,$0.06 ,"$2,752,132,530 ","$7,544,115,603 "
13-Mar-21,$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$1,869,833,076 ","$8,037,692,870 "
12-Mar-21,$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$1,287,767,221 ","$7,125,032,152 "
11-Mar-21,$0.06 ,$0.06 ,$0.05 ,$0.06 ,"$1,233,383,425 ","$7,197,497,882 "
