Type,Date,Open,High,Low,Close,Adj. close,Volume
nasdaq,4/23/2008,2391.639893,2412.530029,2382.77002,2405.209961,2405.209961,2181580000
s&p,4/24/2008,"1,380.52","1,397.72","1,371.09","1,388.82","1,388.82","4,46,16,60,000"
nasdaq,4/24/2008,2408.25,2447.280029,2383.76001,2428.919922,2428.919922,2337160000
s&p,4/25/2008,"1,387.88","1,399.11","1,379.98","1,397.84","1,397.84","3,89,11,50,000"
nasdaq,4/25/2008,2424.679932,2427.090088,2391.149902,2422.929932,2422.929932,1956260000
s&p,4/28/2008,"1,397.96","1,402.90","1,394.40","1,396.37","1,396.37","3,60,70,00,000"
nasdaq,4/28/2008,2422.629883,2437,2416.899902,2424.399902,2424.399902,1724680000
s&p,4/29/2008,"1,395.61","1,397.00","1,386.70","1,390.94","1,390.94","3,81,53,20,000"
nasdaq,4/29/2008,2420,2435.379883,2412.100098,2426.100098,2426.100098,1769030000
s&p,4/30/2008,"1,391.22","1,404.57","1,384.25","1,385.59","1,385.59","4,50,88,90,000"
nasdaq,4/30/2008,2434.199951,2451.189941,2406.370117,2412.800049,2412.800049,2127390000
s&p,5/1/2008,"1,385.97","1,410.07","1,383.07","1,409.34","1,409.34","4,44,87,80,000"
nasdaq,5/1/2008,2416.48999,2480.709961,2416.48999,2480.709961,2480.709961,2344770000
s&p,5/2/2008,"1,409.16","1,422.72","1,406.25","1,413.90","1,413.90","3,95,30,30,000"
nasdaq,5/2/2008,2499.139893,2499.139893,2461.459961,2476.98999,2476.98999,2279510000
s&p,5/5/2008,"1,415.34","1,415.34","1,404.37","1,407.49","1,407.49","3,41,00,90,000"
nasdaq,5/5/2008,2475.310059,2486.050049,2458.120117,2464.120117,2464.120117,2085110000
s&p,5/6/2008,"1,405.60","1,421.57","1,397.10","1,418.26","1,418.26","3,92,41,00,000"
nasdaq,5/6/2008,2455.110107,2488.830078,2445.370117,2483.310059,2483.310059,2097260000
s&p,5/7/2008,"1,417.49","1,419.54","1,391.16","1,392.57","1,392.57","4,07,58,60,000"
nasdaq,5/7/2008,2483.030029,2496.649902,2435.76001,2438.48999,2438.48999,2238810000
s&p,5/8/2008,"1,394.29","1,402.35","1,389.39","1,397.68","1,397.68","3,82,75,50,000"
nasdaq,5/8/2008,2450.01001,2462.51001,2436.610107,2451.23999,2451.23999,2031770000
s&p,5/9/2008,"1,394.90","1,394.90","1,384.11","1,388.28","1,388.28","3,51,86,20,000"
nasdaq,5/9/2008,2432.550049,2455.330078,2429.030029,2445.52002,2445.52002,1711510000
s&p,5/12/2008,"1,389.40","1,404.06","1,386.20","1,403.58","1,403.58","3,37,06,30,000"
nasdaq,5/12/2008,2454.649902,2490.219971,2446.360107,2488.48999,2488.48999,1769330000
s&p,5/13/2008,"1,404.40","1,406.30","1,396.26","1,403.04","1,403.04","4,01,85,90,000"
nasdaq,5/13/2008,2491.02002,2498.070068,2472.580078,2495.120117,2495.120117,1895250000
s&p,5/14/2008,"1,405.65","1,420.19","1,405.65","1,408.66","1,408.66","3,97,93,70,000"
nasdaq,5/14/2008,2503.280029,2528.399902,2493.580078,2496.699951,2496.699951,2129270000
s&p,5/15/2008,"1,408.36","1,424.40","1,406.87","1,423.57","1,423.57","3,83,64,80,000"
nasdaq,5/15/2008,2496.439941,2535.189941,2492.949951,2533.72998,2533.72998,2176320000
s&p,5/16/2008,"1,423.89","1,425.82","1,414.35","1,425.35","1,425.35","3,84,25,90,000"
nasdaq,5/16/2008,2537.409912,2537.409912,2504.179932,2528.850098,2528.850098,2286090000
s&p,5/19/2008,"1,425.28","1,440.24","1,421.63","1,426.63","1,426.63","3,68,39,70,000"
nasdaq,5/19/2008,2530.820068,2551.469971,2505.600098,2516.090088,2516.090088,2269590000
s&p,5/20/2008,"1,424.49","1,424.49","1,409.09","1,413.40","1,413.40","3,85,43,20,000"
nasdaq,5/20/2008,2505.860107,2506.189941,2479.370117,2492.26001,2492.26001,1991010000
s&p,5/21/2008,"1,414.06","1,419.12","1,388.81","1,390.71","1,390.71","4,51,79,90,000"
nasdaq,5/21/2008,2497.389893,2508.899902,2444.98999,2448.27002,2448.27002,2166450000
s&p,5/22/2008,"1,390.83","1,399.07","1,390.23","1,394.35","1,394.35","3,95,59,60,000"
nasdaq,5/22/2008,2454.73999,2474.530029,2448.840088,2464.580078,2464.580078,1932080000
s&p,5/23/2008,"1,392.20","1,392.20","1,373.72","1,375.93","1,375.93","3,51,63,80,000"
nasdaq,5/23/2008,2454.139893,2456,2430.360107,2444.669922,2444.669922,1734070000
s&p,5/27/2008,"1,375.97","1,387.40","1,373.07","1,385.35","1,385.35","3,58,88,60,000"
nasdaq,5/27/2008,2450.52002,2482.080078,2448.580078,2481.23999,2481.23999,1742710000
s&p,5/28/2008,"1,386.54","1,391.25","1,378.16","1,390.84","1,390.84","3,92,72,40,000"
nasdaq,5/28/2008,2491.5,2493.379883,2465.590088,2486.699951,2486.699951,1792750000
s&p,5/29/2008,"1,390.50","1,406.32","1,388.59","1,398.26","1,398.26","3,89,44,40,000"
nasdaq,5/29/2008,2486.090088,2522.139893,2485.919922,2508.320068,2508.320068,1956100000
s&p,5/30/2008,"1,398.36","1,404.46","1,398.08","1,400.38","1,400.38","3,84,56,30,000"
nasdaq,5/30/2008,2519.139893,2530.159912,2510.649902,2522.659912,2522.659912,2153350000
s&p,6/2/2008,"1,399.62","1,399.62","1,377.79","1,385.67","1,385.67","3,71,43,20,000"
nasdaq,6/2/2008,2514.820068,2516.370117,2471.409912,2491.530029,2491.530029,1972760000
s&p,6/3/2008,"1,386.42","1,393.12","1,370.12","1,377.65","1,377.65","4,39,63,80,000"
nasdaq,6/3/2008,2500.5,2513.889893,2460.560059,2480.47998,2480.47998,2148040000
s&p,6/4/2008,"1,376.26","1,388.18","1,371.74","1,377.20","1,377.20","4,33,86,40,000"
nasdaq,6/4/2008,2473.030029,2518.709961,2471.52002,2503.139893,2503.139893,2153510000
s&p,6/5/2008,"1,377.48","1,404.05","1,377.48","1,404.05","1,404.05","4,35,07,90,000"
nasdaq,6/5/2008,2509.48999,2549.939941,2504.570068,2549.939941,2549.939941,2254760000
s&p,6/6/2008,"1,400.06","1,400.06","1,359.90","1,360.68","1,360.68","4,77,16,60,000"
nasdaq,6/6/2008,2528.52002,2529.969971,2474.560059,2474.560059,2474.560059,2192240000
s&p,6/9/2008,"1,360.83","1,370.63","1,350.62","1,361.76","1,361.76","4,40,45,70,000"
nasdaq,6/9/2008,2483.219971,2485,2429.300049,2459.459961,2459.459961,2084630000
s&p,6/10/2008,"1,358.98","1,366.84","1,351.56","1,358.44","1,358.44","4,63,50,70,000"
nasdaq,6/10/2008,2436.75,2466.280029,2432.469971,2448.939941,2448.939941,2081430000
s&p,6/11/2008,"1,357.09","1,357.09","1,335.47","1,335.49","1,335.49","4,77,99,80,000"
nasdaq,6/11/2008,2444.939941,2446.280029,2394.01001,2394.01001,2394.01001,2065810000
s&p,6/12/2008,"1,335.78","1,353.03","1,331.29","1,339.87","1,339.87","4,73,42,40,000"
nasdaq,6/12/2008,2414.459961,2432.879883,2388.48999,2404.350098,2404.350098,2276640000
s&p,6/13/2008,"1,341.81","1,360.03","1,341.71","1,360.03","1,360.03","4,08,04,20,000"
nasdaq,6/13/2008,2423.050049,2454.5,2417.01001,2454.5,2454.5,2106050000
s&p,6/16/2008,"1,358.85","1,364.70","1,352.07","1,360.14","1,360.14","3,70,69,40,000"
nasdaq,6/16/2008,2443.129883,2479.949951,2441.23999,2474.780029,2474.780029,1871720000
s&p,6/17/2008,"1,360.71","1,366.59","1,350.54","1,350.93","1,350.93","3,80,19,60,000"
nasdaq,6/17/2008,2481.199951,2483.189941,2456.780029,2457.72998,2457.72998,1798050000
s&p,6/18/2008,"1,349.59","1,349.59","1,333.40","1,337.81","1,337.81","4,57,35,70,000"
nasdaq,6/18/2008,2444.959961,2449.179932,2422.959961,2429.709961,2429.709961,2030700000
s&p,6/19/2008,"1,336.89","1,347.66","1,330.50","1,342.83","1,342.83","4,81,16,70,000"
nasdaq,6/19/2008,2427.169922,2469.149902,2412.370117,2462.060059,2462.060059,2294540000
s&p,6/20/2008,"1,341.02","1,341.02","1,314.46","1,317.93","1,317.93","5,32,49,00,000"
nasdaq,6/20/2008,2441.959961,2441.959961,2394.26001,2406.090088,2406.090088,2570320000
s&p,6/23/2008,"1,319.77","1,323.78","1,315.31","1,318.00","1,318.00","4,18,63,70,000"
nasdaq,6/23/2008,2416.550049,2419.689941,2384.560059,2385.73999,2385.73999,1916230000
s&p,6/24/2008,"1,317.23","1,326.02","1,304.42","1,314.29","1,314.29","4,70,50,50,000"
nasdaq,6/24/2008,2375.800049,2394.860107,2352.100098,2368.280029,2368.280029,2195920000
s&p,6/25/2008,"1,314.54","1,335.63","1,314.54","1,321.97","1,321.97","4,82,56,40,000"
nasdaq,6/25/2008,2376.820068,2421.25,2376.290039,2401.26001,2401.26001,2153970000
s&p,6/26/2008,"1,316.29","1,316.29","1,283.15","1,283.15","1,283.15","5,23,12,80,000"
nasdaq,6/26/2008,2365.860107,2366.159912,2321.370117,2321.370117,2321.370117,2300840000
s&p,6/27/2008,"1,283.60","1,289.45","1,272.00","1,278.38","1,278.38","6,20,82,60,000"
nasdaq,6/27/2008,2319.620117,2329.939941,2290.590088,2315.629883,2315.629883,3403540000
s&p,6/30/2008,"1,278.06","1,290.31","1,274.86","1,280.00","1,280.00","5,03,23,30,000"
nasdaq,6/30/2008,2312.419922,2325.48999,2292.97998,2292.97998,2292.97998,2096400000
s&p,7/1/2008,"1,276.69","1,285.31","1,260.68","1,284.91","1,284.91","5,84,62,90,000"
nasdaq,7/1/2008,2274.23999,2306.909912,2255.790039,2304.969971,2304.969971,2653890000
s&p,7/2/2008,"1,285.82","1,292.17","1,261.51","1,261.52","1,261.52","5,27,60,90,000"
nasdaq,7/2/2008,2311.570068,2317.199951,2251.300049,2251.459961,2251.459961,2376300000
s&p,7/3/2008,"1,262.96","1,271.48","1,252.01","1,262.90","1,262.90","3,24,75,90,000"
nasdaq,7/3/2008,2261.73999,2262.959961,2227.800049,2245.379883,2245.379883,1423670000
s&p,7/7/2008,"1,262.90","1,273.95","1,240.68","1,252.31","1,252.31","5,26,54,20,000"
nasdaq,7/7/2008,2263.689941,2276.540039,2214.159912,2243.320068,2243.320068,2363990000
s&p,7/8/2008,"1,251.84","1,274.17","1,242.84","1,273.70","1,273.70","6,03,41,10,000"
nasdaq,7/8/2008,2244.899902,2294.439941,2233.98999,2294.439941,2294.439941,2462380000
s&p,7/9/2008,"1,273.38","1,277.36","1,244.57","1,244.69","1,244.69","5,18,10,00,000"
nasdaq,7/9/2008,2290.629883,2296.030029,2234.590088,2234.889893,2234.889893,2285560000
s&p,7/10/2008,"1,245.25","1,257.65","1,236.76","1,253.39","1,253.39","5,84,04,30,000"
nasdaq,7/10/2008,2239.949951,2267.669922,2223.040039,2257.850098,2257.850098,2300880000
s&p,7/11/2008,"1,248.66","1,257.27","1,225.35","1,239.49","1,239.49","6,74,22,00,000"
nasdaq,7/11/2008,2233.379883,2265.860107,2203.25,2239.080078,2239.080078,2340180000
s&p,7/14/2008,"1,241.61","1,253.50","1,225.01","1,228.30","1,228.30","5,43,48,60,000"
nasdaq,7/14/2008,2262.860107,2266.439941,2207,2212.870117,2212.870117,1997990000
s&p,7/15/2008,"1,226.83","1,234.35","1,200.44","1,214.91","1,214.91","7,36,36,40,000"
nasdaq,7/15/2008,2197.179932,2249.120117,2167.290039,2215.709961,2215.709961,2798410000
s&p,7/16/2008,"1,214.65","1,245.52","1,211.39","1,245.36","1,245.36","6,73,86,30,000"
nasdaq,7/16/2008,2219.27002,2284.850098,2205.709961,2284.850098,2284.850098,2425020000
s&p,7/17/2008,"1,246.31","1,262.31","1,241.49","1,260.32","1,260.32","7,36,52,10,000"
nasdaq,7/17/2008,2296.570068,2320.77002,2274.27002,2312.300049,2312.300049,2570670000
s&p,7/18/2008,"1,258.22","1,262.23","1,251.81","1,260.68","1,260.68","5,65,32,80,000"
nasdaq,7/18/2008,2286.919922,2293.179932,2269.550049,2282.780029,2282.780029,2225800000
s&p,7/21/2008,"1,261.82","1,267.74","1,255.70","1,260.00","1,260.00","4,63,06,40,000"
nasdaq,7/21/2008,2290.75,2300.320068,2270.280029,2279.530029,2279.530029,1859410000
s&p,7/22/2008,"1,257.08","1,277.42","1,248.83","1,277.00","1,277.00","6,18,02,30,000"
nasdaq,7/22/2008,2256.320068,2303.959961,2252.840088,2303.959961,2303.959961,2510310000
s&p,7/23/2008,"1,278.87","1,291.17","1,276.06","1,282.19","1,282.19","6,70,58,30,000"
nasdaq,7/23/2008,2305.110107,2350.090088,2300.199951,2325.879883,2325.879883,2730180000
