Date,Open*,High,Low,Close**,Volume,Market Cap
26-Nov-20,$81.88 ,$83.07 ,$65.23 ,$70.87 ,"$8,965,913,476 ","$4,674,081,621 "
25-Nov-20,$89.20 ,$90.41 ,$79.86 ,$81.88 ,"$6,033,297,331 ","$5,400,000,837 "
24-Nov-20,$89.03 ,$93.58 ,$86.83 ,$89.21 ,"$7,748,145,325 ","$5,882,460,030 "
23-Nov-20,$82.70 ,$90.16 ,$81.19 ,$89.04 ,"$7,198,913,664 ","$5,870,816,229 "
22-Nov-20,$86.41 ,$87.64 ,$79.65 ,$82.70 ,"$6,285,046,852 ","$5,452,444,708 "
21-Nov-20,$82.58 ,$88.00 ,$80.65 ,$86.41 ,"$6,565,673,514 ","$5,696,028,601 "
20-Nov-20,$81.68 ,$85.17 ,$80.27 ,$82.58 ,"$6,264,878,329 ","$5,444,339,642 "
19-Nov-20,$73.70 ,$83.21 ,$71.80 ,$81.68 ,"$6,615,851,204 ","$5,384,471,724 "
18-Nov-20,$75.85 ,$76.45 ,$69.63 ,$73.69 ,"$6,120,728,271 ","$4,857,299,278 "
17-Nov-20,$73.50 ,$76.43 ,$71.23 ,$75.85 ,"$5,781,117,491 ","$4,998,932,617 "
16-Nov-20,$62.28 ,$72.00 ,$62.17 ,$71.33 ,"$5,089,779,254 ","$4,700,142,572 "
15-Nov-20,$63.77 ,$64.15 ,$61.23 ,$62.28 ,"$2,565,763,410 ","$4,103,576,321 "
14-Nov-20,$65.46 ,$65.84 ,$61.93 ,$63.77 ,"$2,879,859,655 ","$4,201,549,257 "
13-Nov-20,$60.36 ,$66.02 ,$60.31 ,$65.46 ,"$4,324,936,978 ","$4,311,996,164 "
12-Nov-20,$59.51 ,$60.45 ,$58.31 ,$60.37 ,"$2,506,731,801 ","$3,976,146,557 "
11-Nov-20,$58.24 ,$60.55 ,$58.20 ,$59.52 ,"$2,580,790,979 ","$3,919,710,178 "
10-Nov-20,$59.37 ,$59.66 ,$57.60 ,$58.24 ,"$2,269,831,643 ","$3,835,152,414 "
9-Nov-20,$61.06 ,$61.78 ,$57.84 ,$59.36 ,"$2,791,720,300 ","$3,908,932,290 "
8-Nov-20,$59.14 ,$61.81 ,$58.88 ,$61.06 ,"$2,560,316,021 ","$4,019,845,346 "
7-Nov-20,$63.13 ,$64.40 ,$57.59 ,$59.14 ,"$4,320,946,722 ","$3,893,544,751 "
6-Nov-20,$58.68 ,$63.28 ,$58.47 ,$63.13 ,"$4,083,503,373 ","$4,155,585,902 "
5-Nov-20,$54.50 ,$59.22 ,$54.50 ,$58.68 ,"$3,250,514,599 ","$3,862,051,532 "
4-Nov-20,$53.82 ,$55.01 ,$51.61 ,$54.50 ,"$3,050,534,139 ","$3,586,579,398 "
3-Nov-20,$53.82 ,$54.27 ,$51.65 ,$53.82 ,"$2,580,300,879 ","$3,541,432,847 "
2-Nov-20,$55.59 ,$56.71 ,$53.21 ,$53.82 ,"$3,019,889,902 ","$3,540,884,990 "
1-Nov-20,$55.59 ,$55.97 ,$54.26 ,$55.59 ,"$2,045,991,010 ","$3,656,933,389 "
31-Oct-20,$53.84 ,$56.11 ,$53.53 ,$55.59 ,"$2,657,420,659 ","$3,656,741,432 "
30-Oct-20,$54.77 ,$55.57 ,$52.53 ,$53.84 ,"$2,563,994,174 ","$3,540,959,118 "
29-Oct-20,$55.74 ,$56.30 ,$53.46 ,$54.77 ,"$3,010,404,352 ","$3,601,801,225 "
28-Oct-20,$57.82 ,$60.30 ,$54.71 ,$55.74 ,"$3,786,206,312 ","$3,665,696,641 "
27-Oct-20,$56.75 ,$58.89 ,$56.51 ,$57.82 ,"$3,431,678,162 ","$3,801,761,833 "
26-Oct-20,$58.67 ,$59.10 ,$55.21 ,$56.75 ,"$3,701,855,843 ","$3,731,081,184 "
25-Oct-20,$59.10 ,$59.77 ,$56.66 ,$58.67 ,"$3,725,652,470 ","$3,857,572,663 "
24-Oct-20,$55.24 ,$59.33 ,$54.81 ,$59.10 ,"$3,899,047,277 ","$3,884,856,117 "
23-Oct-20,$54.30 ,$56.67 ,$53.18 ,$55.24 ,"$3,519,541,892 ","$3,630,921,272 "
22-Oct-20,$53.02 ,$56.06 ,$53.01 ,$54.27 ,"$3,814,584,794 ","$3,566,118,639 "
21-Oct-20,$47.06 ,$54.55 ,$47.06 ,$53.05 ,"$3,534,993,796 ","$3,485,819,576 "
20-Oct-20,$48.10 ,$48.44 ,$46.69 ,$47.05 ,"$1,757,468,523 ","$3,091,763,886 "
19-Oct-20,$47.64 ,$48.50 ,$46.99 ,$48.10 ,"$1,771,107,656 ","$3,160,267,220 "
18-Oct-20,$47.06 ,$47.88 ,$46.97 ,$47.62 ,"$2,636,565,895 ","$3,128,435,828 "
17-Oct-20,$47.75 ,$47.75 ,$46.75 ,$47.05 ,"$2,169,301,016 ","$3,090,962,057 "
16-Oct-20,$49.53 ,$49.90 ,$46.21 ,$47.69 ,"$2,331,529,601 ","$3,132,624,928 "
15-Oct-20,$49.83 ,$50.25 ,$49.06 ,$49.49 ,"$2,340,485,565 ","$3,250,355,736 "
14-Oct-20,$50.01 ,$50.98 ,$49.42 ,$49.85 ,"$2,213,563,866 ","$3,273,382,395 "
13-Oct-20,$50.68 ,$50.68 ,$49.13 ,$49.94 ,"$2,177,774,803 ","$3,279,211,860 "
12-Oct-20,$50.62 ,$51.52 ,$49.54 ,$50.74 ,"$2,646,408,249 ","$3,331,555,081 "
11-Oct-20,$48.91 ,$51.24 ,$48.87 ,$50.73 ,"$2,601,103,257 ","$3,330,028,818 "
10-Oct-20,$47.78 ,$50.41 ,$47.78 ,$48.92 ,"$2,781,995,604 ","$3,211,040,248 "
9-Oct-20,$47.22 ,$48.27 ,$46.71 ,$47.83 ,"$2,250,628,685 ","$3,139,276,406 "
